iter	Passed	Remaining
0	7	7539
1	9	4933
2	12	4132
3	14	3647
4	16	3359
5	19	3170
6	21	3023
7	23	2955
8	25	2853
9	27	2764
10	29	2690
11	31	2628
12	33	2571
13	35	2526
14	37	2491
15	40	2468
16	42	2435
17	44	2423
18	48	2502
19	52	2566
20	58	2708
21	61	2745
22	64	2755
23	67	2746
24	70	2733
25	72	2716
26	74	2697
27	76	2667
28	80	2685
29	84	2744
30	87	2724
31	89	2708
32	91	2683
33	93	2660
34	95	2637
35	97	2615
36	99	2594
37	101	2571
38	103	2556
39	106	2552
40	108	2542
41	110	2524
42	112	2508
43	114	2492
44	116	2479
45	118	2463
46	120	2453
47	123	2444
48	125	2431
49	128	2449
50	132	2467
51	135	2461
52	137	2454
53	139	2441
54	141	2428
55	143	2417
56	145	2406
57	147	2395
58	149	2384
59	151	2374
60	153	2365
61	156	2362
62	159	2364
63	161	2363
64	163	2356
65	166	2353
66	169	2360
67	172	2359
68	174	2353
69	176	2344
70	178	2334
71	180	2326
72	182	2316
73	184	2308
74	186	2304
75	190	2317
76	193	2320
77	195	2312
78	197	2304
79	199	2294
80	201	2285
81	203	2280
82	206	2279
83	208	2277
84	211	2275
85	214	2275
86	216	2267
87	217	2258
88	220	2257
89	222	2253
90	225	2248
91	228	2251
92	230	2251
93	233	2248
94	235	2241
95	237	2237
96	239	2229
97	241	2222
98	243	2214
99	245	2208
100	247	2202
101	249	2195
102	251	2190
103	254	2191
104	256	2190
105	259	2188
106	262	2191
107	265	2193
108	268	2195
109	271	2193
110	273	2189
111	275	2187
112	278	2183
113	281	2189
114	284	2193
115	287	2188
116	289	2183
117	291	2176
118	292	2166
119	294	2163
120	296	2156
121	298	2150
122	300	2145
123	303	2143
124	305	2138
125	307	2132
126	309	2126
127	311	2120
128	313	2115
129	315	2110
130	317	2105
131	319	2103
132	321	2098
133	323	2093
134	325	2088
135	327	2083
136	331	2087
137	333	2082
138	335	2079
139	337	2074
140	340	2076
141	343	2073
142	345	2068
143	347	2063
144	350	2065
145	352	2063
146	355	2063
147	358	2066
148	361	2066
149	363	2061
150	365	2056
151	367	2052
152	370	2048
153	372	2043
154	373	2038
155	376	2038
156	378	2033
157	380	2029
158	382	2024
159	385	2021
160	387	2017
161	389	2012
162	391	2008
163	393	2003
164	395	1999
165	396	1994
166	398	1988
167	400	1983
168	403	1982
169	405	1978
170	407	1975
171	409	1971
172	411	1968
173	414	1965
174	416	1961
175	418	1959
176	420	1955
177	423	1957
178	426	1955
179	428	1951
180	430	1948
181	432	1944
182	434	1941
183	437	1941
184	439	1937
185	442	1936
186	444	1931
187	446	1927
188	448	1923
189	450	1920
190	452	1917
191	454	1913
192	456	1908
193	458	1906
194	460	1902
195	462	1899
196	464	1894
197	467	1891
198	469	1889
199	471	1885
200	473	1881
201	475	1878
202	477	1874
203	479	1870
204	481	1867
205	483	1865
206	486	1861
207	488	1858
208	490	1854
209	491	1850
210	493	1847
211	495	1843
212	497	1839
213	500	1836
214	502	1833
215	504	1830
216	506	1827
217	508	1823
218	510	1819
219	512	1816
220	514	1812
221	516	1809
222	518	1807
223	520	1803
224	522	1800
225	524	1797
226	526	1793
227	528	1790
228	530	1786
229	533	1785
230	537	1787
231	539	1785
232	541	1782
233	543	1779
234	545	1775
235	547	1772
236	549	1768
237	551	1766
238	553	1763
239	555	1760
240	558	1757
241	560	1755
242	564	1757
243	567	1757
244	569	1754
245	573	1756
246	575	1754
247	577	1751
248	579	1749
249	583	1750
250	590	1763
251	594	1764
252	597	1764
253	601	1765
254	605	1767
255	612	1781
256	616	1783
257	619	1781
258	622	1779
259	628	1787
260	632	1789
261	635	1790
262	638	1787
263	640	1785
264	642	1781
265	644	1777
266	646	1774
267	648	1772
268	651	1769
269	653	1767
270	655	1764
271	658	1761
272	660	1757
273	662	1754
274	664	1750
275	666	1747
276	668	1744
277	670	1741
278	672	1738
279	674	1735
280	676	1731
281	678	1728
282	681	1725
283	683	1722
284	684	1718
285	686	1714
286	689	1711
287	691	1708
288	693	1705
289	695	1702
290	697	1699
291	699	1696
292	701	1693
293	703	1690
294	706	1687
295	708	1684
296	710	1681
297	712	1678
298	714	1675
299	716	1671
300	718	1668
301	720	1665
302	722	1662
303	724	1659
304	726	1656
305	728	1652
306	731	1650
307	733	1647
308	735	1644
309	737	1640
310	739	1637
311	741	1634
312	743	1631
313	745	1627
314	747	1625
315	749	1622
316	751	1619
317	753	1615
318	755	1612
319	757	1609
320	759	1606
321	761	1602
322	763	1599
323	765	1597
324	767	1594
325	769	1591
326	771	1588
327	773	1584
328	775	1581
329	777	1578
330	779	1575
331	781	1573
332	783	1569
333	785	1566
334	787	1563
335	789	1560
336	791	1557
337	793	1554
338	795	1551
339	798	1549
340	800	1546
341	802	1543
342	804	1540
343	806	1537
344	807	1534
345	810	1531
346	812	1528
347	814	1525
348	816	1523
349	818	1520
350	820	1516
351	822	1513
352	824	1510
353	826	1507
354	828	1505
355	830	1502
356	832	1499
357	834	1496
358	836	1493
359	838	1490
360	840	1488
361	842	1485
362	844	1482
363	846	1479
364	849	1477
365	851	1474
366	853	1471
367	855	1468
368	857	1466
369	859	1463
370	861	1460
371	863	1457
372	865	1455
373	867	1452
374	869	1449
375	873	1450
376	876	1447
377	878	1444
378	880	1443
379	883	1441
380	885	1439
381	888	1437
382	890	1435
383	892	1432
384	895	1430
385	897	1428
386	899	1425
387	901	1422
388	904	1420
389	906	1417
390	908	1415
391	910	1412
392	913	1410
393	915	1407
394	917	1404
395	919	1401
396	921	1398
397	923	1396
398	925	1393
399	927	1390
400	929	1388
401	931	1385
402	933	1382
403	935	1380
404	938	1378
405	942	1378
406	944	1376
407	947	1374
408	949	1372
409	952	1370
410	954	1368
411	956	1365
412	958	1362
413	960	1360
414	963	1357
415	964	1354
416	968	1354
417	971	1352
418	973	1350
419	976	1348
420	979	1346
421	981	1343
422	982	1340
423	984	1337
424	988	1337
425	992	1336
426	994	1335
427	997	1332
428	999	1329
429	1001	1327
430	1003	1324
431	1005	1321
432	1007	1318
433	1009	1316
434	1011	1313
435	1013	1311
436	1015	1308
437	1017	1305
438	1019	1302
439	1021	1299
440	1023	1297
441	1025	1294
442	1027	1291
443	1029	1289
444	1032	1287
445	1035	1286
446	1038	1284
447	1040	1282
448	1042	1279
449	1045	1277
450	1047	1274
451	1049	1272
452	1051	1269
453	1053	1266
454	1054	1263
455	1056	1260
456	1058	1258
457	1061	1256
458	1063	1253
459	1065	1250
460	1067	1247
461	1069	1245
462	1071	1242
463	1072	1239
464	1074	1236
465	1077	1234
466	1079	1232
467	1081	1229
468	1083	1227
469	1086	1225
470	1088	1222
471	1090	1219
472	1092	1217
473	1095	1215
474	1097	1213
475	1100	1211
476	1102	1208
477	1104	1206
478	1106	1203
479	1109	1201
480	1111	1199
481	1113	1196
482	1115	1194
483	1117	1191
484	1119	1189
485	1122	1186
486	1124	1184
487	1126	1182
488	1129	1179
489	1132	1178
490	1135	1177
491	1140	1177
492	1143	1175
493	1145	1173
494	1147	1170
495	1149	1167
496	1151	1165
497	1153	1162
498	1155	1159
499	1157	1157
500	1159	1154
501	1162	1152
502	1164	1150
503	1167	1149
504	1170	1147
505	1172	1145
506	1175	1142
507	1177	1140
508	1179	1137
509	1181	1135
510	1183	1132
511	1185	1129
512	1187	1127
513	1189	1124
514	1191	1122
515	1193	1119
516	1196	1117
517	1199	1116
518	1203	1115
519	1207	1114
520	1210	1112
521	1212	1109
522	1214	1107
523	1216	1104
524	1218	1102
525	1220	1100
526	1222	1097
527	1225	1095
528	1227	1092
529	1229	1090
530	1231	1087
531	1233	1085
532	1235	1082
533	1237	1079
534	1239	1077
535	1241	1074
536	1243	1072
537	1245	1069
538	1247	1066
539	1249	1064
540	1251	1061
541	1253	1059
542	1255	1056
543	1257	1054
544	1259	1051
545	1261	1049
546	1263	1046
547	1266	1044
548	1269	1042
549	1271	1040
550	1273	1037
551	1275	1035
552	1278	1033
553	1280	1031
554	1283	1028
555	1285	1026
556	1287	1023
557	1289	1021
558	1292	1019
559	1294	1017
560	1296	1014
561	1298	1012
562	1300	1009
563	1302	1007
564	1304	1004
565	1306	1002
566	1309	999
567	1311	997
568	1313	994
569	1315	992
570	1317	989
571	1319	987
572	1321	984
573	1323	982
574	1325	979
575	1327	977
576	1329	974
577	1331	972
578	1333	969
579	1335	967
580	1337	964
581	1340	962
582	1342	960
583	1344	957
584	1346	955
585	1348	952
586	1350	950
587	1352	947
588	1354	945
589	1356	942
590	1358	940
591	1360	937
592	1362	935
593	1364	932
594	1366	930
595	1368	927
596	1370	925
597	1373	923
598	1375	920
599	1377	918
600	1379	915
601	1381	913
602	1384	911
603	1386	908
604	1388	906
605	1390	904
606	1392	901
607	1394	899
608	1396	896
609	1398	894
610	1401	892
611	1403	889
612	1406	888
613	1408	885
614	1410	883
615	1412	880
616	1414	878
617	1416	875
618	1418	873
619	1420	870
620	1423	868
621	1425	866
622	1427	863
623	1429	861
624	1431	858
625	1434	857
626	1437	855
627	1440	853
628	1442	850
629	1445	848
630	1447	846
631	1449	843
632	1451	841
633	1454	839
634	1457	837
635	1460	835
636	1462	833
637	1464	831
638	1466	828
639	1468	826
640	1471	824
641	1474	821
642	1477	820
643	1481	819
644	1484	816
645	1486	814
646	1488	812
647	1490	809
648	1492	807
649	1494	804
650	1496	802
651	1498	799
652	1500	797
653	1502	795
654	1505	792
655	1507	790
656	1509	787
657	1513	786
658	1516	784
659	1518	782
660	1519	779
661	1522	777
662	1524	775
663	1527	772
664	1530	771
665	1532	768
666	1534	766
667	1536	763
668	1538	761
669	1540	758
670	1542	756
671	1544	754
672	1546	751
673	1549	749
674	1552	747
675	1555	745
676	1558	743
677	1561	741
678	1564	739
679	1567	737
680	1569	735
681	1571	732
682	1573	730
683	1575	728
684	1577	725
685	1579	723
686	1581	720
687	1583	718
688	1585	715
689	1588	713
690	1590	711
691	1594	709
692	1597	707
693	1599	705
694	1602	703
695	1605	701
696	1607	698
697	1609	696
698	1611	694
699	1615	692
700	1617	690
701	1620	687
702	1623	685
703	1626	683
704	1628	681
705	1630	678
706	1632	676
707	1636	674
708	1639	672
709	1641	670
710	1644	668
711	1645	665
712	1647	663
713	1649	660
714	1652	658
715	1654	656
716	1656	653
717	1658	651
718	1661	649
719	1663	646
720	1664	644
721	1666	641
722	1669	639
723	1671	637
724	1675	635
725	1677	632
726	1679	630
727	1681	628
728	1682	625
729	1684	623
730	1687	620
731	1689	618
732	1692	616
733	1695	614
734	1697	611
735	1699	609
736	1701	607
737	1703	604
738	1705	602
739	1707	599
740	1709	597
741	1712	595
742	1715	593
743	1717	591
744	1720	588
745	1722	586
746	1724	584
747	1726	581
748	1730	579
749	1733	577
750	1735	575
751	1738	573
752	1740	570
753	1744	569
754	1746	566
755	1748	564
756	1751	562
757	1753	559
758	1757	557
759	1759	555
760	1761	553
761	1763	550
762	1765	548
763	1767	545
764	1771	544
765	1773	541
766	1775	539
767	1779	537
768	1781	535
769	1784	532
770	1786	530
771	1789	528
772	1792	526
773	1794	524
774	1796	521
775	1798	519
776	1801	516
777	1803	514
778	1805	512
779	1807	509
780	1809	507
781	1811	505
782	1813	502
783	1815	500
784	1817	497
785	1820	495
786	1822	493
787	1824	490
788	1826	488
789	1828	486
790	1830	483
791	1832	481
792	1834	478
793	1836	476
794	1838	474
795	1840	471
796	1842	469
797	1845	467
798	1848	465
799	1851	462
800	1852	460
801	1854	457
802	1856	455
803	1858	453
804	1860	450
805	1862	448
806	1864	446
807	1867	443
808	1869	441
809	1872	439
810	1874	436
811	1875	434
812	1877	431
813	1879	429
814	1882	427
815	1884	424
816	1886	422
817	1890	420
818	1893	418
819	1897	416
820	1899	414
821	1901	411
822	1903	409
823	1906	407
824	1908	404
825	1910	402
826	1912	399
827	1914	397
828	1916	395
829	1918	393
830	1921	390
831	1923	388
832	1925	386
833	1927	383
834	1929	381
835	1931	378
836	1933	376
837	1936	374
838	1939	372
839	1941	369
840	1943	367
841	1944	364
842	1946	362
843	1948	360
844	1950	357
845	1952	355
846	1953	352
847	1955	350
848	1956	347
849	1957	345
850	1959	343
851	1960	340
852	1962	338
853	1963	335
854	1965	333
855	1967	330
856	1968	328
857	1970	326
858	1971	323
859	1973	321
860	1974	318
861	1976	316
862	1978	314
863	1980	311
864	1981	309
865	1983	306
866	1984	304
867	1986	302
868	1987	299
869	1990	297
870	1991	295
871	1993	292
872	1994	290
873	1996	287
874	1997	285
875	1999	283
876	2001	280
877	2004	278
878	2006	276
879	2010	274
880	2012	271
881	2014	269
882	2017	267
883	2019	264
884	2021	262
885	2023	260
886	2025	257
887	2027	255
888	2028	253
889	2031	251
890	2033	248
891	2035	246
892	2037	244
893	2039	241
894	2041	239
895	2042	237
896	2046	234
897	2048	232
898	2050	230
899	2052	228
900	2054	225
901	2055	223
902	2057	220
903	2058	218
904	2059	216
905	2061	213
906	2063	211
907	2064	209
908	2066	206
909	2067	204
910	2069	202
911	2070	199
912	2072	197
913	2074	195
914	2076	192
915	2078	190
916	2081	188
917	2082	186
918	2085	183
