iter	Logloss
0	0.6744079304
1	0.6572748572
2	0.6427747132
3	0.6305382847
4	0.6192750226
5	0.6069377925
6	0.5957718994
7	0.5865559876
8	0.5782638519
9	0.5697664053
10	0.5633172896
11	0.5559437282
12	0.5494805155
13	0.5445990533
14	0.5385164601
15	0.5339622294
16	0.5298727928
17	0.5251206454
18	0.5205312037
19	0.5163526126
20	0.5123572872
21	0.5095601914
22	0.5063030478
23	0.5040150238
24	0.501619879
25	0.4994779354
26	0.4976657335
27	0.4962664887
28	0.4948045103
29	0.493347614
30	0.491588659
31	0.4900698717
32	0.4890779919
33	0.48791014
34	0.4866532492
35	0.4856604635
36	0.4840226056
37	0.483197101
38	0.482453213
39	0.4814050133
40	0.4803359463
41	0.4798113823
42	0.4791730899
43	0.4782401429
44	0.4771464758
45	0.4765495886
46	0.4761341911
47	0.4757212588
48	0.4754712251
49	0.4746106628
50	0.4738739344
51	0.4735066399
52	0.4731245522
53	0.4724007486
54	0.4717575702
55	0.471405894
56	0.4709284917
57	0.4706093869
58	0.4700086177
59	0.4697613255
60	0.4693158476
61	0.4688238612
62	0.4686473374
63	0.4682613397
64	0.4680613978
65	0.4677489463
66	0.4674954479
67	0.4673370411
68	0.4670946492
69	0.4667205852
70	0.4662832342
71	0.4660245077
72	0.4659125759
73	0.4656716514
74	0.4653553362
75	0.4651827731
76	0.4650406628
77	0.4648489248
78	0.4645598476
79	0.4644775146
80	0.4642581139
81	0.4641686951
82	0.4638936401
83	0.4637462632
84	0.4636536719
85	0.4634807091
86	0.4632816601
87	0.4631169771
88	0.4629482672
89	0.4628394229
90	0.4626665836
91	0.4625852969
92	0.4624104868
93	0.4622778189
94	0.4621413212
95	0.4620470689
96	0.4618771037
97	0.4618721992
98	0.4617361008
99	0.4616300232
100	0.4614422555
101	0.4613473693
102	0.4611178938
103	0.4609930928
104	0.4608700957
105	0.4607230368
106	0.4606686818
107	0.4605129064
108	0.4604244662
109	0.4603294514
110	0.4601581606
111	0.4600500436
112	0.4598748894
113	0.459823928
114	0.4597130516
115	0.4595772136
116	0.4593848512
117	0.459322687
118	0.4592146945
119	0.4591743035
120	0.4590629917
121	0.4589812116
122	0.4588635137
123	0.4588041135
124	0.4586953246
125	0.4586407755
126	0.4585144541
127	0.4584181593
128	0.4583141744
129	0.4582218026
130	0.458059135
131	0.4579498652
132	0.4578827935
133	0.4577284796
134	0.4576248598
135	0.4575293215
136	0.4574053844
137	0.4572982086
138	0.4572312543
139	0.4571558807
140	0.4570972374
141	0.4569474384
142	0.4568474006
143	0.4567957703
144	0.4567257286
145	0.4565925927
146	0.4565364584
147	0.4564002644
148	0.4562240402
149	0.456148392
150	0.4560834432
151	0.4560515329
152	0.455919589
153	0.4558306771
154	0.4557675679
155	0.4556332493
156	0.455487045
157	0.4554740248
158	0.4554027744
159	0.4552831965
160	0.4551923802
161	0.4550987735
162	0.4550256418
163	0.4549355429
164	0.4548671438
165	0.4547663276
166	0.4547225275
167	0.4546339999
168	0.4545980999
169	0.4545352209
170	0.4544154619
171	0.4543370471
172	0.4542935002
173	0.4541656165
174	0.4541092211
175	0.4539897277
176	0.4539004233
177	0.4538495279
178	0.4537645538
179	0.4535746564
180	0.4534906318
181	0.4533458379
182	0.4532761851
183	0.4532346489
184	0.4530881199
185	0.4530513023
186	0.4529593218
187	0.4528903287
188	0.452842343
189	0.4527866737
190	0.4527170879
191	0.4526387889
192	0.4525397974
193	0.4524653465
194	0.4524423396
195	0.4523860987
196	0.4523585877
197	0.4522950167
198	0.452233262
199	0.4521293417
200	0.4520254502
