iter	Passed	Remaining
0	140	69923
1	147	36669
2	157	26094
3	173	21550
4	184	18225
5	196	16195
6	213	15013
7	229	14085
8	245	13404
9	257	12616
10	274	12198
11	278	11336
12	292	10974
13	310	10791
14	327	10600
15	343	10387
16	361	10283
17	376	10087
18	386	9794
19	404	9701
20	421	9617
21	438	9533
22	455	9443
23	462	9178
24	470	8932
25	486	8862
26	492	8631
27	502	8477
28	518	8419
29	533	8358
30	566	8568
31	587	8596
32	601	8518
33	615	8433
34	630	8378
35	640	8252
36	650	8138
37	665	8091
38	676	7993
39	683	7855
40	694	7771
41	702	7663
42	717	7625
43	735	7621
44	750	7589
45	766	7563
46	771	7439
47	787	7417
48	797	7342
49	808	7274
50	827	7289
51	844	7276
52	874	7371
53	883	7298
54	899	7280
55	914	7251
56	929	7227
57	945	7207
58	960	7180
59	968	7103
60	984	7086
61	994	7028
62	1010	7012
63	1027	6997
64	1042	6978
65	1060	6976
66	1080	6986
67	1099	6985
68	1121	7007
69	1132	6958
70	1145	6921
71	1163	6915
72	1181	6910
73	1192	6867
74	1212	6872
75	1243	6935
76	1259	6921
77	1264	6842
78	1282	6835
79	1294	6794
80	1310	6778
81	1328	6771
82	1345	6761
83	1357	6721
84	1364	6659
85	1374	6615
86	1390	6601
87	1406	6584
88	1424	6579
89	1442	6571
90	1451	6523
91	1466	6505
92	1483	6490
93	1494	6453
94	1508	6431
95	1523	6410
96	1550	6440
97	1561	6406
98	1570	6359
99	1584	6339
100	1597	6312
101	1614	6298
102	1630	6283
103	1639	6244
104	1653	6220
105	1669	6204
106	1686	6192
107	1707	6198
108	1727	6197
109	1747	6197
110	1756	6156
111	1766	6117
112	1786	6118
113	1810	6130
114	1829	6123
115	1858	6152
116	1881	6157
117	1905	6167
118	1924	6163
119	1938	6138
120	1954	6122
121	1977	6126
122	2001	6133
123	2020	6127
124	2038	6115
125	2057	6108
126	2088	6134
127	2106	6121
128	2114	6080
129	2131	6066
130	2151	6059
131	2168	6045
132	2185	6031
133	2197	6001
134	2203	5957
135	2221	5946
136	2229	5907
137	2247	5895
138	2259	5867
139	2266	5827
140	2283	5814
141	2316	5840
142	2328	5812
143	2346	5800
144	2362	5783
145	2371	5750
146	2382	5720
147	2397	5701
148	2403	5662
149	2424	5656
150	2439	5639
151	2456	5623
152	2466	5593
153	2482	5577
154	2498	5560
155	2508	5531
156	2524	5514
157	2539	5497
158	2547	5463
159	2563	5447
160	2572	5417
161	2581	5385
162	2596	5367
163	2614	5355
164	2637	5354
165	2653	5338
166	2669	5323
167	2686	5308
168	2703	5294
169	2719	5279
170	2736	5265
171	2755	5254
172	2773	5241
173	2793	5233
174	2799	5199
175	2816	5184
176	2833	5170
177	2850	5156
178	2867	5142
179	2906	5166
180	2912	5133
181	2930	5119
182	2942	5097
183	2959	5082
184	2976	5067
185	2991	5050
186	3008	5035
187	3024	5019
188	3040	5002
189	3056	4987
190	3071	4969
191	3082	4945
192	3100	4931
193	3111	4908
194	3127	4891
195	3142	4873
196	3148	4842
197	3165	4827
198	3180	4811
199	3196	4794
200	3214	4782
201	3233	4769
202	3242	4743
203	3260	4731
204	3284	4725
205	3305	4717
206	3321	4700
207	3340	4689
208	3360	4678
209	3368	4652
210	3393	4647
211	3413	4637
212	3430	4622
213	3448	4608
214	3465	4593
215	3476	4570
216	3494	4557
217	3512	4543
218	3528	4527
219	3545	4512
220	3563	4498
221	3610	4521
222	3637	4518
223	3649	4496
224	3667	4482
225	3684	4466
226	3699	4448
227	3715	4432
228	3732	4417
229	3745	4397
230	3760	4379
231	3775	4361
232	3791	4344
233	3801	4321
234	3808	4294
235	3823	4277
236	3850	4272
237	3866	4256
238	3882	4239
239	3898	4223
240	3914	4206
241	3931	4191
242	3947	4174
243	3963	4158
244	3979	4141
245	3996	4126
246	4006	4103
247	4022	4087
248	4032	4065
249	4065	4065
250	4081	4048
251	4096	4031
252	4111	4014
253	4126	3996
254	4141	3978
255	4158	3963
256	4173	3946
257	4191	3931
258	4207	3914
259	4223	3898
260	4239	3882
261	4255	3866
262	4272	3850
263	4289	3834
264	4304	3817
265	4321	3801
266	4338	3785
267	4345	3762
268	4363	3747
269	4379	3730
270	4395	3714
271	4410	3697
272	4426	3680
273	4439	3662
274	4456	3646
275	4471	3628
276	4487	3612
277	4502	3595
278	4518	3578
279	4534	3562
280	4550	3546
281	4565	3529
282	4581	3513
283	4598	3497
284	4614	3481
285	4630	3465
286	4646	3448
287	4661	3431
288	4678	3415
289	4693	3399
290	4710	3382
291	4726	3366
292	4742	3350
293	4758	3333
294	4774	3318
295	4791	3302
296	4807	3285
297	4823	3269
298	4839	3253
299	4856	3237
300	4873	3222
301	4889	3205
302	4906	3189
303	4922	3173
304	4938	3157
305	4954	3141
306	4971	3125
307	4986	3108
308	5005	3093
309	5053	3097
310	5069	3081
311	5085	3064
312	5100	3046
313	5116	3030
314	5131	3013
315	5147	2997
316	5163	2980
317	5179	2964
318	5197	2949
319	5213	2932
320	5229	2916
321	5249	2902
322	5266	2886
323	5283	2869
324	5299	2853
325	5316	2837
326	5331	2820
327	5347	2804
328	5363	2787
329	5381	2772
330	5396	2755
331	5411	2738
332	5426	2721
333	5441	2704
334	5457	2688
335	5473	2671
336	5490	2655
337	5506	2639
338	5522	2622
339	5537	2606
340	5554	2589
341	5570	2573
342	5586	2556
343	5602	2540
344	5618	2524
345	5635	2508
346	5651	2491
347	5667	2475
348	5682	2458
349	5698	2442
350	5715	2426
351	5730	2409
352	5747	2393
353	5763	2376
354	5779	2360
355	5795	2344
356	5812	2328
357	5828	2311
358	5843	2294
359	5859	2278
360	5875	2262
361	5891	2245
362	5907	2229
363	5925	2213
364	5941	2197
365	5957	2181
366	5973	2164
367	5989	2148
368	6007	2132
369	6024	2116
370	6041	2100
371	6057	2084
372	6072	2067
373	6089	2051
374	6105	2035
375	6122	2019
376	6137	2002
377	6153	1985
378	6170	1969
379	6187	1953
380	6203	1937
381	6221	1921
382	6237	1905
383	6253	1889
384	6269	1872
385	6283	1855
386	6299	1839
387	6316	1823
388	6332	1807
389	6347	1790
390	6365	1774
391	6381	1758
392	6398	1742
393	6414	1725
394	6431	1709
395	6447	1693
396	6463	1676
397	6479	1660
398	6495	1644
399	6511	1627
400	6527	1611
401	6542	1595
402	6558	1578
403	6575	1562
404	6591	1546
405	6606	1529
406	6623	1513
407	6640	1497
408	6655	1480
409	6672	1464
410	6689	1448
411	6706	1432
412	6723	1416
413	6740	1400
414	6756	1383
415	6772	1367
416	6789	1351
417	6805	1335
418	6823	1319
419	6839	1302
420	6855	1286
421	6871	1270
422	6886	1253
423	6902	1237
424	6917	1220
425	6934	1204
426	6950	1188
427	6965	1171
428	6982	1155
429	6998	1139
430	7014	1122
431	7030	1106
432	7045	1090
433	7062	1073
434	7079	1057
435	7094	1041
436	7111	1025
437	7127	1008
438	7144	992
439	7159	976
440	7175	960
441	7193	943
442	7210	927
443	7227	911
444	7243	895
445	7260	879
446	7279	863
447	7297	847
448	7316	831
449	7334	814
450	7349	798
451	7368	782
452	7384	766
453	7423	752
454	7442	736
455	7470	720
456	7487	704
457	7503	688
458	7518	671
459	7535	655
460	7551	638
461	7568	622
462	7584	606
463	7601	589
464	7619	573
465	7634	557
466	7650	540
467	7666	524
468	7682	507
469	7698	491
470	7714	474
471	7730	458
472	7747	442
473	7763	425
474	7779	409
475	7795	393
476	7812	376
477	7828	360
478	7845	343
479	7861	327
480	7877	311
481	7894	294
482	7909	278
483	7925	261
484	7940	245
485	7956	229
486	7973	212
487	7990	196
488	8007	180
489	8022	163
490	8038	147
491	8054	130
492	8070	114
493	8087	98
494	8104	81
495	8122	65
496	8139	49
497	8156	32
498	8172	16
499	8190	0
